count,superkingdom,phylum,class,order,family,genus,species,strain,filename,sig_name,sig_md5,total_counts
148,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium duncaniae,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
261,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__KLE1615,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
133,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__CAG-448,s__CAG-448 sp003150135,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
133,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__CAG-448,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
133,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-272,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
131,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides massiliensis,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
128,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Tannerellaceae,g__Parabacteroides,s__Parabacteroides johnsonii,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
126,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__KLE1615,s__KLE1615 sp900066985,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
124,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Dorea,s__Dorea formicigenerans,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
124,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Dorea,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
121,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Marinifilaceae,g__Odoribacter,s__Odoribacter splanchnicus,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
121,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Marinifilaceae,g__Odoribacter,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
121,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Marinifilaceae,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
119,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Anaerobutyricum,s__Anaerobutyricum soehngenii,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
119,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Anaerobutyricum,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
117,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae_A,g__Duodenibacillus,s__Duodenibacillus intestinigallinarum,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
117,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae_A,g__Duodenibacillus,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
117,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae_A,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
117,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,,,,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
106,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Blautia_A,s__Blautia_A wexlerae,,DRR002467_2.fastq.rem.fastq.sig,,56cce2ea7c15b92116515af268e84914,107071.0
